mh1,mh2,sample
292.160039,1505.53439,"[-2.910337568983598, 1.751287848829687, -1.7656785116416467, 3.6766577621586647, -2.356196751852184, -1.4015818587378819, -1.5169494333006153, 1.909606889680739, 1.4555947367446063, -1.6640387467286244, -0.5397416610250572]"
292.160039,1505.53439,"[-1.5736678652720508, 2.1184554365490014, -0.7619049543155816, 0.3484825850341906, -3.4330138595102193, -0.5781248231046305, 2.425541287940286, -2.4915994685865543, -3.477073335947238, -3.551863703054628, 1.7821855702970515]"
292.160039,1505.53439,"[0.031175613486915665, -1.7306290999531972, -0.0766849197739976, -0.0015090270213882206, 0.21042990753336444, -0.03437488315274706, 1.0169605066470124, -2.469784315792783, -1.5827658695530502, -0.2949016662973696, -3.332193477038974]"
292.160039,1505.53439,"[2.999101122621564, -2.144329191752055, -2.682630370885737, -3.1268396192207453, -1.578715100144307, 0.14651776170037945, 2.313970320011139, -2.9197546034979993, -1.2732425841447466, -2.9894698758050424, -2.5754414703979718]"
292.160039,1505.53439,"[-3.0743283059364543, 1.2059714405663424, 3.138849048697761, 3.841879853072683, -2.3939024682576253, -0.5799174745815296, 3.0710953759695716, 3.2665512690812086, -2.2238972014074, 2.62572980587647, -0.32794509047180753]"
292.160039,1505.53439,"[3.372626442325661, 2.548817268203181, -2.1920258042923235, 0.17385352492460449, -0.2957219237704374, -2.57421469428619, -1.7933089597360583, -2.579265532704584, -3.5588838135409606, -3.4585856827927755, 1.0256332822757326]"
292.160039,1505.53439,"[2.389129922708082, 1.1289882150875519, -0.7555219354050422, 1.0104431703403218, 3.0007182225706046, -0.6687302046450325, 2.0256192202132155, -1.2513765466005244, -2.0195071920469534, 3.199729803239446, 0.016408795420378652]"
292.160039,1505.53439,"[3.334256365936149, -0.6265676835172629, -0.26281745619386765, -3.0849995030861646, 1.1650822062237296, 1.7015286670917433, -1.3729318512071584, 1.2982751481307702, -0.5159363428474171, 1.7543516927597071, -2.1007810524056962]"
292.160039,1505.53439,"[-2.847764748131194, -1.070175492999784, -2.8900836455463708, -3.6830359204366747, 0.37226917084267885, 0.5054397436028477, -1.0709880735048998, -0.02645714874813887, -1.6248843534752266, 2.228987143583269, 2.0635008425306864]"
292.160039,1505.53439,"[2.900722289726197, -1.7135553240762533, -2.0115895923326637, -0.574645218899259, -1.412600462880242, 1.642778065206695, 3.5633226686973387, -3.878621606311789, -2.599086371866444, -2.399370175989917, 2.0135770577751773]"
292.160039,1505.53439,"[-2.816083269482318, 1.0449369290127404, 0.5419050391894134, -1.9578488750485619, -3.157915231238194, -2.7343151553702967, 3.6270626866196487, 3.0008894864635165, 1.969382624594581, 2.965804818404128, -0.7335522563682595]"
292.160039,1505.53439,"[-2.8793227969613877, -0.6612617271348178, 2.0358947880276004, -0.929395608381868, 0.2627771595343189, -3.8210883608546444, -1.0965652373370256, 1.7759156449282338, 2.2791739744838884, 2.051845325207169, 0.6605528374306573]"
292.160039,1505.53439,"[2.0454157249369915, 0.6850169982816006, 3.6083702061702603, -0.6840671674112562, 1.0853785835452427, 2.059096066288416, -1.9187918923068947, -0.5428940157515818, -2.469577905697249, -0.20857424954976178, -1.1057872464299807]"
292.160039,1505.53439,"[0.3930492655651987, 3.560688002462477, 0.9628467827135871, -3.2222277412877496, -2.8779918688080075, 3.711188336410097, -1.5978719423993129, -2.66459036820946, 2.650381219472547, 1.0750259051969673, 0.25082681222472747]"
292.160039,1505.53439,"[1.0839324215025767, -0.9121124718730131, -2.6987165345434123, -1.1125437270642848, 1.4770697868212395, -3.1974451201227403, -0.41839132662191414, 0.979290567870561, -1.097359889521396, 0.7281514195790182, 0.002409592728369603]"
292.160039,1505.53439,"[-3.0868246991351587, -3.904085129492273, 3.8398133619935324, 2.234802320896594, 3.1618203025053644, 3.267224216950808, -3.052251837095808, 2.3921145153426746, 3.064203600840977, 1.7880540454868878, -0.2600746442493804]"
292.160039,1505.53439,"[-0.4046406435252523, 3.873781320935101, -0.752810024687042, 0.40585969611159367, -1.1928986855574237, -0.429816445100454, 2.31063491147784, 0.7411021298945215, -1.8605170788219159, 0.5496006051176359, 0.9439087726113176]"
292.160039,1505.53439,"[-1.7001737295998414, -2.2139474329865356, 2.8594995300770156, 3.826238251545006, -2.395192512367818, -2.771777114780659, 0.3849939435853864, -0.494648245867217, 2.2164835229897673, -2.8137923198860246, 1.341643380878219]"
292.160039,1505.53439,"[-2.4713969996711027, -1.072834967220989, -0.4737578072980728, -2.389440076612516, 0.5886776669237763, 1.507121771613174, 3.8253936736810665, -2.4794019110899885, -0.019599969430109887, 3.5354705956455224, -2.297382515857951]"
292.160039,1505.53439,"[1.939356987585092, -1.8610856730457508, -3.9641786630630076, 1.1778775837675877, -0.9070866828202133, -0.8789828842349534, 2.4581174305038846, -1.2741398141529912, 3.1846451984439925, 0.8777925312110533, 0.3231204686964606]"
292.160039,1505.53439,"[0.3844910785716067, 2.1153264300815477, -1.4621200674929318, 1.285502847386308, 3.4010551952496098, -2.8072010850526397, -2.6535662722608855, -0.6755316956219168, 1.122534812461783, 0.22634534842611043, 2.1669145376409853]"
292.160039,1505.53439,"[-0.1462074609267976, -0.4666076112413515, -2.7407332451676965, -0.9133144595861555, -3.15419828964726, -2.011395904153079, -2.9787736515686234, -2.527633174049569, -1.8511086076895547, -2.1001301956338443, 1.44463818537462]"
292.160039,1505.53439,"[-1.1915187774189402, -3.7696674770949237, -2.4754276116423286, -2.3429255883168514, 0.23646318403936384, 3.640786902432594, -2.708124015890263, -0.3088574163688005, -1.75485032104113, -3.106101264821797, -1.7973479026111177]"
292.160039,1505.53439,"[-2.0259050591883616, 1.0559616212517353, -1.4224777503541661, 2.8351435937279, 2.3068238570772692, 1.8269769929730675, -3.2437148799382536, -3.3527564380857546, 3.517278814747633, 0.04166748280343757, 0.2298593945803793]"
292.160039,1505.53439,"[2.267368282084872, -0.5295372547170176, -1.5616599356747072, 1.9093518497029454, 1.0644162997063882, -2.2364454841839363, 2.8803826704438666, -2.4492775927984773, -3.531241781866086, 2.487650929712938, -3.57598226776409]"
292.160039,1505.53439,"[-0.7109575824456726, -2.3324529920867025, -3.036780634047581, -0.13008079210646706, 2.287324658968706, -3.9986175612654495, 0.24274528613595336, -3.2907461582922117, 1.4042071386795785, 3.6278077766805117, -0.24433292566178189]"
292.160039,1505.53439,"[-3.624129411405332, -1.4262650679935733, 1.3909328943040755, -2.940040475018809, -2.685878759565325, 2.598328892024483, -1.7059799114714336, 2.5410356358249473, 2.1084082200740735, -2.2315303620135394, 0.35544113218769713]"
292.160039,1505.53439,"[-0.688491332127354, 0.9342512140460393, 1.1155636954190706, 1.3229944750504377, -3.672856269551615, 1.506994043300896, 2.8835335996110407, -0.49694621684655615, 3.645838766218999, -0.8643569209172712, -3.0898843729729366]"
292.160039,1505.53439,"[-3.0119290751723238, -0.31911909205303157, 2.6164892016228922, 1.0597926484494096, -0.3929840664150879, -0.29461414937112984, -0.5661116901698175, -0.39893543624721417, 1.4019056826856167, 1.4162521773646368, 2.970839495728054]"
292.160039,1505.53439,"[0.20310084795316197, -2.027868381851653, -2.8615666714660417, 0.2273650832906915, 3.864085352384447, -1.8189072837144211, -3.6568238300212066, -0.1582810083657531, -0.2375653515274463, -1.4662365562139463, 3.5023991210917726]"
292.160039,1505.53439,"[0.33028269778539787, 2.3457950972191854, -3.4332629956852205, -3.882628026537869, 2.6032211241334124, 1.1191465752307277, 1.7431692109965056, -0.7110085060143598, 2.939439785795983, 3.575361507087342, -3.921139613296024]"
292.160039,1505.53439,"[-1.1268615248907992, -1.9852678150970577, 0.790688915339067, -2.5714461869617464, -1.5591351467854384, -1.9521320017901793, 1.777938842402759, 2.9966158576200854, 1.32892940900643, 1.6449708222274122, -2.8924772513555403]"
292.160039,1505.53439,"[-1.8389322396178347, 2.9665733719532437, 0.25305652401276024, 0.7044896773358271, -3.8308205201313346, 2.4214630168352373, -0.5869632399004514, -2.254375200917252, -0.03166127454119749, 3.097849544357273, -1.1683626706870083]"
292.160039,1505.53439,"[-3.6930067647706952, -0.7875377886541681, -0.23147819100488753, 0.3146620695011597, -1.2001391166913846, 3.3728542098237915, 1.9198443205645805, -1.0937934154687543, -0.5717482372347344, -0.6042200724025975, 0.64910557556873]"
292.160039,1505.53439,"[-0.14977918898479725, 0.7792360944340198, 2.726197483541906, 2.5975853302489567, -1.3058632102715748, 0.8996910040363435, -3.168324526016149, 1.1736324864737107, -0.6111144528447063, 2.197636371760886, -0.6137940648685438]"
292.160039,1505.53439,"[-0.6234591590903538, -0.25954700418686816, -3.2334648856869803, -2.3222731939068977, 2.544040801484872, -2.0536685871428695, 2.0092022509440657, 0.2244172867160863, -1.4745711485804858, -1.709039193987195, 1.8311207401933967]"
292.160039,1505.53439,"[0.973854851357089, 3.7809810586567716, -2.917057369554681, 2.348896243782251, 3.3985114145256157, -2.7033488941978776, -1.8330712794896868, -3.1489681013779336, 0.9323085299468312, 3.1394384684738705, 3.21192966014927]"
292.160039,1505.53439,"[-2.313863340147816, 0.39843925642882017, -3.64196649890446, 3.3449556685615383, 3.3763838984432466, -0.9883921216991247, -3.592487185078828, 1.6742084465332727, 2.6259144454965018, -2.3306745953741377, 0.21008222129497156]"
292.160039,1505.53439,"[-3.964016161358761, -1.6407011473256228, -1.8196546705600865, -0.46189103012151467, 1.9242520619976595, -0.29563933785208096, -3.3517951881230026, 2.1214817661784453, -2.4010421658421066, 0.2156444117255072, 1.0971281713391]"
292.160039,1505.53439,"[0.21703690997182878, 2.4606342732722606, -3.8250611841292557, -0.8820169606829875, 3.004804738053755, 3.1598322017299942, 1.9918193571195966, -3.3679489562978926, 1.5846726140290954, -1.2218770797678529, 2.4594450416759885]"
292.160039,1505.53439,"[-3.809194360595633, -3.1491994525379168, -0.045182935376805844, 0.1957231586703303, -0.3641931347260279, 0.8811243707700278, -3.3885532163704077, -3.259546368846218, -1.4634123138060753, 3.2250418125934077, 1.0590858892595554]"
292.160039,1505.53439,"[1.2779484019484322, -3.426025973278188, 0.15686753824576982, 3.1209326595068463, 1.5402103009125563, 1.19120554939955, 0.48332113676013044, -3.9146128312236375, -3.7766074791794377, 0.727832218491999, -3.1345129928455613]"
292.160039,1505.53439,"[-2.904859180662255, -2.80113094889548, -1.6781532778075112, -2.0067015692182233, 0.32836578731746346, 3.9509475561795933, 3.3864481238566366, 0.34404184081539935, 2.1368892942349866, 1.2754066579697527, 2.607857579544743]"
292.160039,1505.53439,"[-3.305144014781705, 3.96022837113055, 3.2203594426194604, -3.1499861812340173, 1.4028721713317163, 1.9651409574792744, 0.06281276829390148, 1.0586952285078715, -3.835279922685481, 3.8823398522002552, -1.5732917685838936]"
292.160039,1505.53439,"[-3.5402158620219124, 3.6881682957375848, -1.066382545962468, 3.816554742010519, -0.5026260094706023, 3.547263424937226, 0.22861770339123755, 2.0401703148930928, 1.847353464566778, 3.6342546226592294, 1.747521543063975]"
292.160039,1505.53439,"[-3.616190765548799, -3.0734462512637446, 3.2465945850826134, 0.3241359534684234, 3.4998827707094913, 2.72140346412323, 0.8963677078817334, -1.2578750906906686, 0.21900251641528445, 1.5897002635072859, -0.29118059636751514]"
292.160039,1505.53439,"[0.13483371590551307, -0.18522650134873686, -3.7080676743763377, -2.3649029355982805, 1.6576431500034303, -1.0743078043949108, -1.5283393045311104, -0.4926608727134276, -1.6369790418753878, 3.948938805463362, -1.0669028251973955]"
292.160039,1505.53439,"[-0.1929550671522815, -0.7766242326867445, -1.737458974342295, -1.8406428052101917, 1.420872393011936, 3.2309645574638646, -1.3160345020888942, 2.602790667526862, 2.9134640480196374, -1.2962679748505623, 0.7422924821121875]"
292.160039,1505.53439,"[-1.9000307655521942, 1.683348955259258, 2.504596433433526, -0.19342735866279703, -3.062134381618023, -1.688725741933128, -2.904593428554686, -3.7207714848273623, 1.8621248238569823, 0.26768253741023873, 0.9503117431609551]"
292.160039,1505.53439,"[0.10409111060341214, 3.5468331088621765, -3.908240541259846, -3.5370465701500544, -0.15506563255218442, 1.8885738939257584, -1.1094746130596151, -0.7353029674778977, 0.22594765924635496, 1.6820659244985503, -2.1171351771580804]"
292.160039,1505.53439,"[2.8212669155432293, -1.2219862932983476, -2.223937513143019, 2.213283973901788, -3.310601732839145, 0.05576405695719533, 0.311045842130234, 3.6240987389845145, -3.6593142339645617, -0.7935542510489837, -0.3721991881031421]"
292.160039,1505.53439,"[-1.0289715556134533, 3.876433050118087, 3.876852922755864, -2.1389318111104263, -3.387771549885634, 2.2806119066652677, 3.9859452583328157, -1.7747909612777235, 1.954078525243908, -2.367005007094873, 0.8775764016224912]"
292.160039,1505.53439,"[3.056218223131653, 3.807770756928738, -2.880727900566659, -2.309057345624697, -0.9249060787817367, -2.126609128851608, 0.17778228353143088, -0.39969124896013053, 2.9374618413693074, 2.327630481816822, 1.0391101560841127]"
292.160039,1505.53439,"[-1.2135156026302836, 3.4555353411223013, 0.8209889792885807, -2.6218281701084063, 0.29140842462452543, -0.7877551423810285, 0.3593169997933341, -2.323200004581942, -3.372942414776377, -3.9264424058319234, -2.718715098250658]"
292.160039,1505.53439,"[-2.6531958722616826, 3.606904694036505, 2.924237504202851, 2.7573169537536506, -0.5977822130033035, -3.1800153363743666, -2.1087746019907687, 1.9872806948045083, 0.6625384307051538, -0.40784846952854537, 2.558686243787032]"
292.160039,1505.53439,"[2.4903571179535007, 3.420713674563503, 3.4337891714071285, -2.093531036747966, -1.527225517971333, -1.8853914425694311, 3.272665536348195, -2.2797362336903984, 0.784264989249503, -1.7902390129297618, -2.022722672400021]"
292.160039,1505.53439,"[-0.6132254679867666, -3.475377799137175, 1.9184676705571135, -2.6087382288508074, 0.32597693583031795, -3.660933579758634, -0.9928158410873325, 2.711386940097505, -2.538628040635718, -3.5908378713539912, 1.4248515550556187]"
292.160039,1505.53439,"[-1.3787890572010193, -3.435580434268572, -0.9811711602819173, -1.8411011789135392, -2.3016529954394915, -3.845350675371715, 0.3324764810148446, -0.10059030063470065, 2.111795328580711, -1.1366266657619244, -0.08496216429862713]"
292.160039,1505.53439,"[0.47362585561557236, 0.0429860904416266, 1.511288626814915, -1.3267464305539693, -0.9842907166733825, 0.08675194993115021, 2.20096012014654, -2.0370771305822686, 3.8896430392371526, -1.3455775816237843, -0.28072339549331193]"
292.160039,1505.53439,"[2.9710837029296693, -2.8491713548067654, -3.3700910488196634, 0.3799590444259451, 3.040428800803655, -2.6677252851296007, -0.4930219224838117, -1.4856024370102539, 0.2788080467573337, -2.283364656785076, -3.1024824028600397]"
292.160039,1505.53439,"[2.5994007633487177, 0.1947329949000558, -2.6656044266397343, 0.4759461279322714, -1.3360682856957995, -0.4870650788319191, -0.6751021163632078, -0.24571473412983114, -1.4030453045206759, 0.02086807563799198, 0.026117867618980384]"
292.160039,1505.53439,"[-3.6344887730397817, -1.6270934242988293, 0.5820998609152737, -3.032720106625204, -1.7226469355732208, -2.941555897894954, 3.592812319991906, -0.59900026450679, -2.3800835544818844, 0.3026073326915908, -3.438435707218801]"
292.160039,1505.53439,"[-3.144103424712543, 3.9724244172586998, 3.2429925750314563, -2.8042759715744596, 2.7114998108531356, 3.7962253054819755, -3.493726238151722, -2.424618891012474, 0.30275216848867803, -1.7566027409097815, -0.85153297006703]"
292.160039,1505.53439,"[1.0630630078302676, 2.9521556666802393, -3.09385927611046, -2.2098115164422634, -2.9459390222736985, 2.9023608778825567, 3.0310482532735605, -3.6933502501091384, -2.6973424303868363, -2.1952534772079604, 2.1811898335813034]"
292.160039,1505.53439,"[-0.23563803547031092, 1.4758714670005109, -1.00890490543678, -1.856663452754331, -3.2487304070150502, 1.9222134746191886, -1.121790562507166, 1.375078155252078, 0.8897069882073056, 2.0799261255486767, 2.2182698561285257]"
292.160039,1505.53439,"[-2.2446202850710923, 3.753431698594662, 0.8750025283191709, -2.6982536231370275, 0.9868445165126492, 1.471678156116444, 1.2319292703295366, -3.121026755218778, -2.167727974008619, -1.2505833588694175, -3.946684183278345]"
292.160039,1505.53439,"[0.9449080562251808, -0.09385049475054341, -3.579488445399674, 1.6320032626784267, 3.553322961104559, 2.6330712760524007, -3.8301162961732587, -1.13078368845549, -2.8562787665317106, 2.6177285283778735, 2.0180703123854986]"
292.160039,1505.53439,"[0.2111989363233846, 0.13264466802637642, -3.3949053918544134, -0.7960767035631235, 2.66708174064457, 2.818699547788639, 0.7130086843942829, -0.38837328987064623, 2.218652891316359, -3.549931273211687, 0.22455943361725872]"
292.160039,1505.53439,"[0.6680186899299025, -3.1065247358457304, -3.8395457144912655, -3.6989529313185106, 3.810568941796239, -0.819792569287733, 0.9512147572522789, 3.1397468659297365, 3.1286093519624325, 1.4000635247865576, -0.07132709796745029]"
292.160039,1505.53439,"[0.508188877650019, 0.49456891190714547, 0.31498840123683713, -1.1957929600378527, 1.6699574941973312, 2.9226096916732605, -0.34158017868315316, 2.391917457503757, -3.330218102825614, -0.5558444243839, 0.41297563057902753]"
292.160039,1505.53439,"[-0.18024541175653486, -0.1252613897060879, -0.10660641089977929, 3.8601565434200156, -3.550234178407333, -1.180861151125594, 2.74563038361108, -3.374175833625622, 1.9129523547662437, 0.38838412051146953, 0.05028901624073878]"
292.160039,1505.53439,"[-2.3169522076994395, 3.1692983330291975, -3.2297362627937316, 3.701203841307483, 0.7103976094352085, 2.5807582896176084, -2.703114068294182, 2.3340114170571926, 0.8880763887462262, 0.8629903292182659, -3.585517561711157]"
292.160039,1505.53439,"[1.3779779945514692, -3.010084617588004, -3.7702303749218062, -2.7015451378754403, 2.7461423233092415, -3.213343147008973, -0.5154833564477324, -2.9844754450634676, 0.35267526786081493, -2.20371890944383, -2.8142881793686554]"
292.160039,1505.53439,"[-0.04489106709716584, -3.029941819184831, 2.4576853293669796, -2.945417572073856, -2.4672932732568844, 1.1220674795900258, -1.6955632964924447, -1.2516516326675644, -0.18971694224148283, -3.1392624279371635, 1.355575676776522]"
292.160039,1505.53439,"[-1.751875813776988, -0.3411550756451165, 1.5367287538271768, -3.599640318345762, -1.4031593667255962, -2.2189515861298545, 2.191416173619092, 1.6048489787973157, -0.14551953718432387, 1.2662243789091425, 2.561599016328885]"
292.160039,1505.53439,"[3.7194057878217857, -2.170217529869028, 2.496031054762616, -1.065969046279724, 1.1330045425934685, 3.331776732947514, 3.882984337272463, -1.1113414900583507, 3.6068126254704325, -1.155579717433599, -0.5913305715586175]"
292.160039,1505.53439,"[-3.4591759850037063, 0.7826503535011593, -0.9983916422932735, 1.7123527721432783, 1.7496677554050608, -0.7539495414697663, 0.576871863917658, 2.778407308360106, 1.0237662432066994, -0.3058577901798518, -3.960500491943889]"
292.160039,1505.53439,"[3.7561642849868644, 3.3801039416074197, 3.550945519914446, 2.213669990440647, 1.099066846003284, 1.983483721524519, 1.5756223966209886, -0.9219755223256509, -1.5583654134225506, -0.559415496793612, 2.8350893521756744]"
292.160039,1505.53439,"[-0.8058294504145413, 3.9009860908039924, -0.5202347189938905, 2.599504401884526, 2.411403321014685, 0.3593517787533518, 0.6463977341837399, -0.8016585055659702, -1.9205110780008914, 1.0316083576369657, 0.6510400415253272]"
292.160039,1505.53439,"[-2.0250013904854205, 2.080492831882716, -1.0893959530005661, 3.9157829859358166, -2.3496568342691795, 0.7859618164910218, -1.5318269680065901, -1.40752004045029, -2.6462946409039585, 3.8732347219589283, 2.5614324067657064]"
292.160039,1505.53439,"[2.9134880056590733, -2.284535806813124, -1.9148003886442986, 1.384650253268724, 1.5245080275349654, -3.3865433834184158, -3.46036492878968, -0.3929235577464043, -1.7647121225931617, 0.3080839000398887, -1.7510327292319516]"
292.160039,1505.53439,"[-3.3037660075287754, 0.4734241290121748, 1.7340550953645364, 2.9830413682360106, -1.777943417137382, 3.587780360051382, -3.382995717715514, -0.9971451639072866, 3.486464947071849, -3.3857598993625517, -1.038302207133059]"
292.160039,1505.53439,"[1.1007701759931043, -2.4573250835179037, 0.9821772631457604, -3.6071892080324757, -2.420369572930116, -1.792384562907002, 2.9204937483954154, -3.36489372255872, -1.2270252946110674, 3.045006428191826, -0.7062924749270101]"
292.160039,1505.53439,"[0.31000003832451295, 1.791298844081327, 0.2625678812061958, -0.5524284093645981, 1.3043447177205092, 1.7977046255321705, -2.555937671680086, -1.8051626712146414, -2.808113171228749, -0.5652548444208545, -3.260245291995499]"
292.160039,1505.53439,"[-0.667663851074006, -2.4715779239490994, -0.03783253852640023, -1.592769310703125, 3.8340590192959363, -2.052314082202879, 1.6993663840347537, 1.0822866317474684, 1.7582633967238346, 2.4215342453714106, -3.0509281511036823]"
292.160039,1505.53439,"[1.759813170099906, -1.6463596650538053, -1.4230539234787525, -3.5794100790296746, 2.262621260360902, 1.2177377696976812, 2.694490565434436, -3.485909687809067, -2.1397330253900915, 3.5318750081233787, 3.119564374406126]"
292.160039,1505.53439,"[-1.2905932465642875, -0.36941783879831647, 0.8310784189560927, 2.975211631229686, 1.279318127699618, 2.1544071596640118, 3.016488268050895, 0.7962357660589143, 3.113602272406033, -1.724283424202179, -2.2339150149239275]"
292.160039,1505.53439,"[0.4609615601167416, -3.530092461483206, 0.14841003044527135, -0.39208216393724804, 1.8644211356908782, -1.778498502594851, -3.0884720041392564, 1.2874204300545067, -3.5856953746721043, 1.3131197390586333, -2.8321376276413908]"
292.160039,1505.53439,"[-1.9937255273027716, 2.9785798193050654, -0.6213129434986193, -0.3763576219957976, -3.6998692912493665, 2.4409715050702383, -0.13256315365339688, 0.728168450057308, -1.1608175066747002, -1.9283267779795272, -0.7698385875823828]"
292.160039,1505.53439,"[3.8704843986968624, -2.2283697291238935, -0.506760803669601, 1.216196843767693, -0.9291297181921703, 1.0638344409604397, -2.8816376126899357, 0.6019877072651338, 2.538403959297219, 2.8757113752316448, 2.865704262558962]"
292.160039,1505.53439,"[1.6905046582968577, 0.33792418636540233, 1.27674921634953, 3.73748482899476, -1.222156359364594, -1.9001376115412034, -1.4757232462868064, 2.345553212837725, 3.0874155237409298, -3.059390387078177, 0.5304493823782952]"
292.160039,1505.53439,"[1.9701312422059658, -2.2205038655230105, -1.4224758174536714, -3.94612539102119, -2.608315612895538, -1.6114406533000691, -3.787876247832914, 1.9531079507339397, -1.2481481533521386, -3.7500488886983243, -0.47494000937803715]"
292.160039,1505.53439,"[-0.9586030703580928, -3.1848782779575187, -0.9071928229356834, 2.8818933457079865, 1.6085653546626215, 3.8499367344787867, -2.847006876955332, 0.9988194289567618, 1.7038832402690574, -0.7681869467805873, -0.28553614835196317]"
292.160039,1505.53439,"[-0.9549281403435828, 0.889054069916476, 3.4274638129054056, -3.251083989132585, -3.6438100441625556, -2.2454633861462865, -0.4749668887331584, 3.158882694173717, 3.406841284825793, 0.07645483930852848, 1.9133909878683388]"
292.160039,1505.53439,"[-3.041058237717161, -1.844054194673264, -1.1445449066168045, 3.0291259782978273, -3.95452860538302, 1.0477660604485513, -2.6791710826491464, -2.521937959593762, 3.836510242512147, -0.65696771329565, -3.280798976157124]"
